GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
data-structure,com.lonton.binarytree.utils,MybatisConfig,0,10,0,0,0,4,0,2,0,2
data-structure,com.lonton.binarytree,TreeApplication,6,3,0,0,2,1,1,1,1,1
data-structure,com.lonton.binarytree,AVisitor,120,0,18,0,10,0,18,0,9,0
data-structure,com.lonton.binarytree,IVisitor,0,4,0,0,0,1,0,1,0,1
data-structure,com.lonton.binarytree.impl,PostTraverser,63,45,17,7,20,13,10,7,1,4
data-structure,com.lonton.binarytree.impl,CountHeightVisitor,27,38,6,4,6,10,5,6,1,5
data-structure,com.lonton.binarytree.impl,PreTraverser,40,45,7,7,12,13,5,7,1,4
data-structure,com.lonton.binarytree.impl,PrintVisitor,22,34,4,2,5,9,4,4,1,4
data-structure,com.lonton.binarytree.impl,MidTraverser,46,45,11,7,15,13,7,7,1,4
data-structure,com.lonton.binarytree.impl,NodeNumVisitor,24,31,4,2,5,8,4,4,1,4
data-structure,com.lonton.binarytree.impl,SearchVisitor,189,60,34,8,5,16,26,11,9,7
data-structure,com.lonton.leetcode.easy,Q111MinDepth,4,52,3,13,1,11,3,7,0,2
data-structure,com.lonton.leetcode.easy,Q108SortedArrayToBST,0,53,0,2,0,9,0,4,0,3
data-structure,com.lonton.leetcode.easy,Q257AllPathsToBinaryTrees,0,59,0,6,0,13,0,6,0,3
data-structure,com.lonton.leetcode.easy,Q617MergingTrees,0,43,0,6,0,7,0,5,0,2
data-structure,com.lonton.leetcode.easy,Q094BinaryTreeInOrderTraversal,2,38,1,5,1,11,1,5,0,3
data-structure,com.lonton.leetcode.easy,Q145BinaryTreePostorderTraversal,3,40,2,6,2,12,2,5,0,3
data-structure,com.lonton.leetcode.easy,Q404SumOfLeftLeaves,0,41,2,6,0,5,2,4,0,2
data-structure,com.lonton.leetcode.easy,Q104MaxDepth,4,24,1,3,0,6,1,3,0,2
data-structure,com.lonton.leetcode.easy,Q112PathSum,1,68,1,11,0,13,1,8,0,3
data-structure,com.lonton.leetcode.easy,Q700SearchBST,8,25,2,4,1,5,2,3,0,2
data-structure,com.lonton.leetcode.easy,Q530MinimumAbsoluteDifferenceInBST,0,43,0,2,0,7,0,3,0,2
data-structure,com.lonton.leetcode.easy,Q100SameTree,13,66,11,9,1,17,9,3,0,2
data-structure,com.lonton.leetcode.easy,Q110BalancedBinaryTree,9,55,4,6,1,10,4,4,0,3
data-structure,com.lonton.leetcode.easy,Q226InvertBinaryTree,0,33,0,2,0,10,0,4,0,3
data-structure,com.lonton.leetcode.easy,Q501FindModeInBST,0,120,1,13,0,26,1,9,0,3
data-structure,com.lonton.leetcode.easy,Q101SymmetricBinaryTree,5,44,7,9,2,7,7,4,0,3
data-structure,com.lonton.leetcode.easy,Q144BinaryTreePreorderTraversal,3,40,2,6,2,12,2,5,0,3
data-structure,com.lonton.leetcode.common,TreeNode,52,278,11,31,5,59,12,23,2,12
data-structure,com.lonton.leetcode.common,ListNode,122,54,22,4,4,16,17,8,6,6
data-structure,com.lonton.leetcode.med,Q113PathSumII,0,100,0,8,0,20,0,7,0,3
data-structure,com.lonton.leetcode.med,Q109SortedListToBST,0,55,0,8,0,16,0,6,0,2
data-structure,com.lonton.leetcode.med,Q538ConvertBSTToGreaterTree,0,34,0,2,0,8,0,3,0,2
data-structure,com.lonton.leetcode.med,Q105ConstructBinaryTreeFromPreorderAndInorderTraversal,0,94,0,4,0,17,0,5,0,3
data-structure,com.lonton.leetcode.med,Q102LevelOrder,2,66,2,10,1,21,2,6,0,2
data-structure,com.lonton.leetcode.med,Q106ConstructBinaryTreeFromInorderAndPostorderTraversal,0,95,0,4,0,17,0,5,0,3
data-structure,com.lonton.leetcode.med,Q103ZigzagLevelOrder,2,78,2,14,1,25,2,8,0,2
data-structure,com.lonton.leetcode.med,Q654MaximumBinaryTree,0,58,0,6,0,13,0,5,0,2
data-structure,com.lonton.leetcode.med,Q889ConstructBinaryTreeFromPreorderAndPostorderTraversal,0,105,1,7,0,17,1,6,0,3
data-structure,com.lonton.leetcode.med,Q098ValidateBinarySearchTree,0,53,2,8,0,7,2,6,0,3
data-structure,com.lonton.leetcode.med,Q107LevelOrderBottom,4,73,1,9,0,18,1,6,0,2
data-structure,com.lonton.leetcode.med,Q437PathSumIII,0,68,0,6,0,14,0,6,0,3
data-structure,com.lonton.leetcode.med,Q222CountCompleteTreeNodes,0,52,0,8,0,15,0,6,0,2
data-structure,com.lonton.leetcode.med,Q513FindBottomLeftTreeValue,0,38,0,6,0,10,0,5,0,2
data-structure,com.lonton.leetcode.med,Q236LowestCommonAncestorOfBinaryTree,0,43,0,14,0,12,0,9,0,2
data-structure,com.lonton.binarytree.pojo,BinaryTree,103,102,16,4,2,25,15,5,7,3
data-structure,com.lonton.binarytree.pojo,BinaryTree.TreeNode,241,142,55,7,8,10,36,16,5,16
